id;valsoundid
128;
129;
130;
131;
132;
133;
134;
135;
136;
137;
138;
139;
140;
141;
142;
143;bass1
144;bass2
145;bass3
146;bass4
147;bass5
148;bass6
149;bass7
150;bass8
151;bass9
152;bass10
153;bass11
154;bass12
155;bass13
156;bass14
157;bass15
158;bass16
159;bass17
160;bass18
161;bass19
162;bass20
163;bass21
164;bass22
165;bass23
166;bass24
167;bass25
168;bass26
169;bass27
170;bass28
171;bass29
172;bass30
173;bass31
174;bass32
175;bass33
176;bass34
177;bass35
178;bass36
179;bass37
180;bass38
181;bass39
182;bass40
183;bass41
184;bass42
185;bass43
186;bass44
187;bass45
188;bass46
189;bass47
190;bass48
191;bass49
192;bass50
193;bass51
194;bass52
195;bass53
196;bass54
197;brass1
198;brass2
199;brass3
200;brass4
201;brass5
202;brass6
203;brass7
204;brass8
205;brass9
206;brass10
207;brass11
208;brass12
209;brass13
210;brass14
211;brass15
212;brass16
213;brass17
214;brass18
215;brass19
216;brass20
217;bell1
218;bell2
219;bell3
220;bell4
221;bell5
222;bell6
223;bell7
224;bell8
225;bell9
226;bell10
227;bell11
228;bell12
229;bell13
230;bell14
231;bell15
232;bell16
233;bell17
234;bell18
235;guitar1
236;guitar2
237;guitar3
238;guitar4
239;guitar5
240;guitar6
241;guitar7
242;guitar8
243;guitar9
244;guitar10
245;guitar11
246;guitar12
247;guitar13
248;guitar14
249;guitar15
250;guitar16
251;guitar17
252;guitar18
253;lead1
254;lead2
255;lead3
256;lead4
257;lead5
258;lead6
259;lead7
260;lead8
261;lead9
262;lead10
263;lead11
264;lead12
265;lead13
266;lead14
267;lead15
268;lead16
269;lead17
270;lead18
271;lead19
272;lead20
273;lead21
274;lead22
275;lead23
276;lead24
277;lead25
278;lead26
279;lead27
280;lead28
281;lead29
282;lead30
283;lead31
284;lead32
285;lead33
286;lead34
287;lead35
288;lead36
289;lead37
290;lead38
291;lead39
292;lead40
293;lead41
294;lead42
295;piano1
296;piano2
297;piano3
298;piano4
299;piano5
300;piano6
301;piano7
302;piano8
303;piano9
304;piano10
305;piano11
306;piano12
307;piano13
308;piano14
309;piano15
310;piano16
311;piano17
312;piano18
313;piano19
314;piano20
315;se1
316;se2
317;se3
318;special1
319;special2
320;special3
321;special4
322;special5
323;strpad1
324;strpad2
325;strpad3
326;strpad4
327;strpad5
328;strpad6
329;strpad7
330;strpad8
331;strpad9
332;strpad10
333;strpad11
334;strpad12
335;strpad13
336;strpad14
337;strpad15
338;strpad16
339;strpad17
340;strpad18
341;strpad19
342;strpad20
343;strpad21
344;strpad22
345;strpad23
346;strpad24
347;strpad25
348;wind1
349;wind2
350;wind3
351;wind4
352;wind5
353;wind6
354;wind7
355;wind8
356;world1
357;world2
358;world3
359;world4
360;world5
361;world6
362;world7
363;
364;
365;
