id;name;color_r;color_g;color_b
autopan;Auto-Pan;0.93;0.86;0.74
autowah;Auto-Wah;0.31;0.66;0.78
bitcrush;Bitcrush;0.89;0.66;0.66
cabsim;Cab Sim;0.31;0.77;0.66
chorus;Chorus;0.53;0.58;0.84
comb;Comb;0.5;0.37;0.84
compresser;Compr.;0.73;0.71;0.67
delay;Delay;0.69;0.8;0.91
distortion;Distortion;0.96;0.7;0.22
filter;Filter;0.87;0.87;0.87
flanger;Flanger;0.7;0.41;0.6
limiter;Limiter;0.65;0.22;0.22
octaver;Octaver;0.6;0.35;0.31
parameq;Param. EQ;0.65;0.52;0.44
phaser;Phaser;0.48;0.76;0.44
reverb;Reverb;0.95;0.96;0.75
staticflanger;S. Flanger;0.33;0.33;1
tremolo;Tremolo;0.72;0.95;0.95
vibrato;Vibrato;0.84;0.62;0.85
vinylsim;Vinyl Sim;0.36;0.36;0.36
