id;gm_inst;isdrum
Acoustic Grand Piano;0;0
Bright Acoustic Piano;1;0
Electric Grand Piano;2;0
Honky-tonk Piano;3;0
Electric Piano;4;0
Electric Piano 2;5;0
Harpsichord;6;0
Clavi;7;0
Celesta;8;0
Glockenspiel;9;0
Music Box;10;0
Vibraphone;11;0
Marimba;12;0
Xylophone;13;0
Tubular Bells;14;0
Dulcimer;15;0
Drawbar Organ;16;0
Percussive Organ;17;0
Rock Organ;18;0
Church Organ;19;0
Reed Organ;20;0
Accordion;21;0
Harmonica;22;0
Tango Accordion;23;0
Acoustic Guitar (nylon);24;0
Acoustic Guitar (steel);25;0
Electric Guitar (jazz);26;0
Electric Guitar (clean);27;0
Electric Guitar (muted);28;0
Overdriven Guitar;29;0
Distortion Guitar;30;0
Guitar harmonics;31;0
Acoustic Bass;32;0
Electric Bass (finger);33;0
Electric Bass (pick);34;0
Fretless Bass;35;0
Slap Bass;36;0
Slap Bass 2;37;0
Synth Bass;38;0
Synth Bass 2;39;0
Violin;40;0
Viola;41;0
Cello;42;0
Contrabass;43;0
Tremolo Strings;44;0
Pizzicato Strings;45;0
Orchestral Harp;46;0
Timpani;47;0
String Ensemble;48;0
String Ensemble 2;49;0
SynthStrings;50;0
SynthStrings 2;51;0
Choir Aahs;52;0
Voice Oohs;53;0
Synth Voice;54;0
Orchestra Hit;55;0
Trumpet;56;0
Trombone;57;0
Tuba;58;0
Muted Trumpet;59;0
French Horn;60;0
Brass Section;61;0
SynthBrass;62;0
SynthBrass 2;63;0
Soprano Sax;64;0
Alto Sax;65;0
Tenor Sax;66;0
Baritone Sax;67;0
Oboe;68;0
English Horn;69;0
Bassoon;70;0
Clarinet;71;0
Piccolo;72;0
Flute;73;0
Recorder;74;0
Pan Flute;75;0
Blown Bottle;76;0
Shakuhachi;77;0
Whistle;78;0
Ocarina;79;0
Square Lead;80;0
Sawtooth Lead;81;0
Calliope Lead;82;0
Chiff Lead;83;0
Charang Lead;84;0
Voice Lead;85;0
Fifths Lead;86;0
Bass + Lead;87;0
New Age Pad;88;0
Warm Pad;89;0
Polysynth Pad;90;0
Choir Pad;91;0
Bowed Pad;92;0
Metallic Pad;93;0
Halo Pad;94;0
Sweep Pad;95;0
Ice Rain;96;0
Soundtrack;97;0
Crystal;98;0
Atmosphere;99;0
Brightness;100;0
Goblin;101;0
Echo Drops;102;0
Star Theme;103;0
Sitar;104;0
Banjo;105;0
Shamisen;106;0
Koto;107;0
Kalimba;108;0
Bag pipe;109;0
Fiddle;110;0
Shanai;111;0
Tinkle Bell;112;0
Agogo;113;0
Steel Drums;114;0
Woodblock;115;0
Taiko Drum;116;0
Melodic Tom;117;0
Synth Drum;118;0
Reverse Cymbal;119;0
Guitar Fret Noise;120;0
Breath Noise;121;0
Seashore;122;0
Bird Tweet;123;0
Telephone Ring;124;0
Helicopter;125;0
Applause;126;0
Gunshot;127;0
Piano;0;0
